COS_ID,Galaxy,M_star,M_HI,R_HI,R_vir,rho,phi,inc,SubhaloID1,SubhaloID2,SubhaloID3,SubhaloID4
1,J0159+1346,10.1,9.4,16.2,163,102,64,,630870,614326,618120,634707
3,J0852+0309,10.3,9.7,22.6,179,178,67,,607530,579232,584724,585282
5,J0914+0836,10.0,9.0,10.3,156,180,69,,620832,642220,622877,623745
11,J0958+3204,10.7,10.0,31.6,269,162,0,,543729,540920,547293,546474
19,J1115+0241,10.7,9.8,29.4,24,209,83,,554798,537488,550149,552581
