SubhaloID,Galaxy,COS_ID,h,center_x_ckpch,center_y_ckpch,center_z_ckpch,rhalf_star_ckpch,J_tot_x,J_tot_y,J_tot_z,inc_tot_deg,PA_tot_deg,inc_star_deg,PA_star_deg,PCA_major2D_XY_deg,rho_kpc,phi_deg,inc_used_deg,Rvir_kpc_used,debug_image,orientation_json,error
542252,J0951+3537,10,0.6774,19867.078125,2326.205078125,17898.740234375,5.790509223937988,-574.6076049804688,-740.09814453125,-1247.416015625,36.91136475087414,142.17445733876053,65.46861342193176,145.62499900637636,147.75148723795215,226.0,3.0,61.95,229.0,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_542252/analysis/debug_sid542252_part-stars_snap99.png,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_542252/analysis/orientation_sid542252_snap99.json,
543729,J0958+3204,11,0.6774,23187.501953125,14686.109375,14196.4638671875,7.185357570648193,-138.2988739013672,540.7166748046875,1041.3211669921875,28.19022660551084,14.346945472658604,45.179110775147144,1.5967814650751109,168.64699821953712,162.0,0.0,45.179110775147144,269.0,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_543729/analysis/debug_sid543729_part-stars_snap99.png,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_543729/analysis/orientation_sid543729_snap99.json,
544001,J1032+2112,14,0.6774,7690.57568359375,9939.2470703125,4316.9453125,3.3868050575256348,-511.2987060546875,222.9390411376953,-282.5555419921875,63.1348768518669,66.44159257847677,72.2459638428773,107.49279682805788,105.68617454388675,214.0,45.0,76.07,245.0,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_544001/analysis/debug_sid544001_part-stars_snap99.png,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_544001/analysis/orientation_sid544001_snap99.json,
544408,J1032+2112,14,0.6774,31695.00390625,18242.138671875,8307.51171875,3.881669282913208,421.231201171875,946.1519165039062,-181.30479431152344,80.07051893307651,156.00115090846674,59.30060664280027,150.77141594872919,162.17639991299228,214.0,45.0,76.07,245.0,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_544408/analysis/debug_sid544408_part-stars_snap99.png,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_544408/analysis/orientation_sid544408_snap99.json,
546474,J0958+3204,11,0.6774,944.1771240234375,5804.345703125,23141.498046875,2.5555455684661865,219.88246154785156,563.0001831054688,865.984375,34.9131685220814,158.6666271487391,52.53801855047159,116.05374453896628,117.27900855115631,162.0,0.0,52.53801855047159,269.0,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_546474/analysis/debug_sid546474_part-stars_snap99.png,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_546474/analysis/orientation_sid546474_snap99.json,
547293,J0958+3204,11,0.6774,34222.9140625,16710.466796875,11128.63671875,3.9336037635803223,-21.242618560791016,526.8976440429688,-430.6629943847656,50.76174079794912,2.3087094977696836,28.47033268939813,15.57130341944898,28.468316341882996,162.0,0.0,28.47033268939813,269.0,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_547293/analysis/debug_sid547293_part-stars_snap99.png,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_547293/analysis/orientation_sid547293_snap99.json,
550149,J1115+0241,19,0.6774,11712.951171875,30008.646484375,29275.392578125,2.8350586891174316,285.11590576171875,-317.6814880371094,121.62039184570312,74.0968873523333,41.907653602407755,44.08149726161178,42.34251368515274,47.06067720764305,209.0,83.0,44.08149726161178,24.0,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_550149/analysis/debug_sid550149_part-stars_snap99.png,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_550149/analysis/orientation_sid550149_snap99.json,
552581,J1115+0241,19,0.6774,7522.13916015625,21868.826171875,1985.7530517578125,2.634970188140869,262.7015075683594,-62.93222427368164,413.349853515625,33.165605102659235,76.52821943737503,53.28718057123813,62.67384507922788,52.66524855929949,209.0,83.0,53.28718057123813,24.0,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_552581/analysis/debug_sid552581_part-stars_snap99.png,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_552581/analysis/orientation_sid552581_snap99.json,
554798,J1115+0241,19,0.6774,21480.7421875,5925.88427734375,29403.6953125,3.0324490070343018,-169.8836212158203,138.94432067871094,611.2836303710938,19.749519904465668,50.720972580213186,42.86300566511569,42.620193218149154,45.84084859007168,209.0,83.0,42.86300566511569,24.0,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_554798/analysis/debug_sid554798_part-stars_snap99.png,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_554798/analysis/orientation_sid554798_snap99.json,
555287,J0951+3537,10,0.6774,22248.455078125,10874.2646484375,20099.849609375,6.823205471038818,-311.93475341796875,1082.6484375,374.2313232421875,71.62603992016149,16.072851137574304,73.69706641290723,30.516144572892614,29.272399762691606,226.0,3.0,61.95,229.0,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_555287/analysis/debug_sid555287_part-stars_snap99.png,/Users/wavefunction/ASU Dropbox/Tanmay Singh/COS_GASS/TNG_Subhalos/sub_555287/analysis/orientation_sid555287_snap99.json,
