COS_ID,Galaxy,MatchRank,SubhaloID,GroupID,dlogMstar,dlogMHI,dist
11,J0958+3204,1,543729,232,0.007139939154145125,0.02060316569553322,0.019692877610912034
11,J0958+3204,2,535774,212,0.011176746157271822,0.03350062717075275,0.031720001878348544
11,J0958+3204,3,229936,10,0.02004564615768878,0.026108865504475887,0.03527436636901868
11,J0958+3204,4,547293,242,0.0344701261758118,0.007056463329668361,0.048392924034247456
11,J0958+3204,5,63869,1,0.026944998959470112,0.04459127312920863,0.0525642688293488
11,J0958+3204,6,537941,217,0.018721866781763907,0.05964495310631257,0.05568722828153799
11,J0958+3204,7,546474,240,0.02329143549460788,0.06177981954398426,0.06041803137834006
11,J0958+3204,8,509091,159,0.044209759062333376,0.00830963480140845,0.06199597674815067
11,J0958+3204,9,555601,268,0.051557689007051266,0.027877034530783718,0.07544603079121663
11,J0958+3204,10,532301,204,0.016529229274690138,0.09233613729205459,0.07956769550337212
14,J1032+2112,1,400974,50,0.010263848672785514,0.01189445731777461,0.01734588619619325
14,J1032+2112,2,507784,157,0.002707180704515366,0.026479551968810355,0.022164107851266955
14,J1032+2112,3,540452,223,0.016478581144195203,0.006089260306632482,0.02350926411250463
14,J1032+2112,4,569251,310,0.0024592129715479416,0.039006675388714385,0.0323551471488549
14,J1032+2112,5,555287,267,0.017792459003990402,0.02673087381107031,0.03318183723851783
14,J1032+2112,6,544408,234,0.014384155503986307,0.05450281353941122,0.049221994591277234
14,J1032+2112,7,563732,292,0.035649548371655015,0.03205945794863929,0.05628385348746996
14,J1032+2112,8,560751,283,0.018183348585044,0.06132261927823279,0.05657320461188472
14,J1032+2112,9,544001,233,0.010243889734420364,0.0684483141960488,0.05823411338834656
14,J1032+2112,10,542252,228,0.0293039974342868,0.05939975982642132,0.06378396618359294
15,J1051+1245,1,572121,321,0.01924803162938815,0.014247246108917366,0.029287277431707805
15,J1051+1245,2,590218,397,0.006897150535280616,0.03623426407718355,0.031394261483937355
15,J1051+1245,3,591469,403,0.011494290813304886,0.045892254644369856,0.041102769173489664
